Name,Formula,-∆fH°,group,O-(C)(CB),CB-(O)(CB)2,C-(H)3(O),C-(H)3(C),C-(H)3(CB),C-(H)2(C)2,CD-(H)2,CB-(H)(CB)2,CB-(C)(CB)2,C-(H)2(C)(CB),CH3(tert),CH3(qua),CO-(C)2,O-(CD)2,O-(C)(CD),O-(CB)2,O-(C)2,O-(H)(C) ,CD-(O)(H),C-(O)4,C-(H)(O)3,C-(O)3(C),C-(O)2(C)2,C-(H)(O)2(C),C-(H)2(O)2,C-(O)(C)3,C-(H)(O)(C)2,C-(H)2(O)(C) ,rsc,radical 1,radical 2,radical 3,Correction o-,Correction m-,Correction p-
"1,4-Dioxane",C4H8O2,315.3,ether,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,1,4,0,0,0,0
Diisopropyl ether,C6H14O,319.4,ether,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0
Butoxybutane,C8H18O,332.9,ether,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"1,3-Dioxane",C4H8O2,340.6,ether,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,1,1,3,0,0,0,0
"1,3-Dioxepane",C5H10O2,346.6,ether,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,1,1,3,0,0,0,0
Dimethoxymethane,C3H8O2,348.2,ether,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Isopropyl tert-butyl ether,C7H16O,357.73,ether,0,0,0,5,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,2,2,0,0,0
Di-sec-butyl ether,C8H18O,360.7,ether,0,0,0,4,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0
Di-tert-butyl ether,C8H18O,362,ether,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,0,0,0
2-Methoxyetahnol,C3H8O2,376.9,ether,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
Methyldecyl ether,C11H24O,381.12,ether,0,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1,1-Dimethoxyethane",C4H10O2,389.7,ether,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1,2-Diethoxyethane",C6H14O2,408.19,ether,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0
"3,5-Dioxaheptane",C5H12O2,414.8,ether,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
"2,2-Dimethoxypropane",C5H12O2,424.31,ether,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1,3-Diethoxypropane",C7H16O2,436.18,ether,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"1,1-Diethoxyethane",C4H14O2,453.59,ether,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"2,2-Diethoxypropane",C7H16O2,506.6,ether,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
Trimethoxymethane,C4H10O3,545,ether,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diethylene glycol,C4H10O3,571.2,ether,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"3,5,7-Trioxanonane",C6H14O3,581.1,ether,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
"1,1,1-Trimethoxyethane",C5H12O3,587.7,ether,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Triethyleneglycol,C6H14O4,725,ether,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Tetramethoxymethane,C5H12O4,727.18,ether,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3,5,7,9-Tetraoxaundecane",C7H16O4,741,ether,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0
Tetraethyleneglycol,C8H18O5,883,ether,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
1-Methoxy-4-methylbenzene,C8H10O,99,ether,1,1,1,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1
1-Methoxy-3-methylbenzene,C8H10O,102.6,ether,1,1,1,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0
1-Methoxy-2-methylbenzene,C8H10O,106.6,ether,1,1,1,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
